section,viewport,pct,verdict
hero,375x812,NA,FAIL
hero,768x1024,NA,FAIL
hero,1440x900,NA,FAIL
brand,375x812,NA,FAIL
brand,768x1024,NA,FAIL
brand,1440x900,NA,FAIL
social-proof,375x812,NA,FAIL
social-proof,768x1024,NA,FAIL
social-proof,1440x900,NA,FAIL
ingredients-section,375x812,NA,FAIL
ingredients-section,768x1024,NA,FAIL
ingredients-section,1440x900,NA,FAIL
gift-section,375x812,NA,FAIL
gift-section,768x1024,NA,FAIL
gift-section,1440x900,NA,FAIL
featured-product,375x812,NA,FAIL
featured-product,768x1024,NA,FAIL
featured-product,1440x900,NA,FAIL
trust-bar,375x812,NA,FAIL
trust-bar,768x1024,NA,FAIL
trust-bar,1440x900,NA,FAIL
